Change Physical Footprint: Designator=DA6_5 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA6_6 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA6_7 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_1 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_2 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_3 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_4 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_5 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_6 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA7_7 Old Footprint=SOP8 New Footprint=SOP8
Change Physical Footprint: Designator=DA8 Old Footprint=8SOP(Exposed_Pad) New Footprint=8SOP(Exposed_Pad)
Change Physical Footprint: Designator=DD1 Old Footprint=SOIC-8 New Footprint=SOIC-8
Change Physical Footprint: Designator=DD2 Old Footprint=SOIC-16W New Footprint=SOIC-16W
Change Physical Footprint: Designator=DD3 Old Footprint=sim800l New Footprint=sim800l
Change Physical Footprint: Designator=DD4 Old Footprint=arduino_nano New Footprint=arduino_nano
Change Physical Footprint: Designator=DD5 Old Footprint=SOIC-16 New Footprint=SOIC-16
Change Physical Footprint: Designator=DD6 Old Footprint=SOIC-16 New Footprint=SOIC-16
Change Physical Footprint: Designator=DD7 Old Footprint=TSSOP-16 New Footprint=TSSOP-16
Change Physical Footprint: Designator=DD8 Old Footprint=DHT22 New Footprint=DHT22
Change Physical Footprint: Designator=DD9 Old Footprint=SOT23-6 New Footprint=SOT23-6
Change Physical Footprint: Designator=F1 Old Footprint=fuse_20x5_on_clips_FC-M New Footprint=fuse_20x5_on_clips_FC-M
Change Physical Footprint: Designator=L1 Old Footprint=IHLP-4040 New Footprint=IHLP-4040
Change Physical Footprint: Designator=L2_1 Old Footprint=IHLP-2525 New Footprint=IHLP-2525
Change Physical Footprint: Designator=L2_2 Old Footprint=IHLP-2525 New Footprint=IHLP-2525
Change Physical Footprint: Designator=L2_3 Old Footprint=IHLP-2525 New Footprint=IHLP-2525
Change Physical Footprint: Designator=L3 Old Footprint=IHLP-4040 New Footprint=IHLP-4040
